,time_s,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,cumulative_energy,incremental_energy_J,segment_number
112,538.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
113,539.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
114,540.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
115,541.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
116,542.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
117,543.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
118,544.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
119,545.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
120,546.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
121,547.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
122,548.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
123,549.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
124,550.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
125,551.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
126,552.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
127,553.943571371213,0.0,0.0,0.031187999953601775,0.0,0.0,-219.11958721650385,0.0,13
128,597.9871980378858,0.15000000000000002,0.0065440000008720745,0.03773199995447385,0.75,219.01711613906255,-197.2178756025976,21.901711613906258,14
129,598.9871980378858,0.0,0.0,0.03773199995447385,-1.34112,0.0,-197.2178756025976,0.0,15
130,599.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
131,600.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
132,601.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
133,602.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
134,603.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
135,604.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
136,605.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
137,606.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
138,607.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
139,608.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
140,609.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
141,610.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
142,611.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
143,612.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
144,613.9871980378858,0.0,0.0,0.03773199995447385,0.0,0.0,-197.2178756025976,0.0,15
