,time_s,speed_mph,speed_mph_capped,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,incremental_energy_J,cumulative_energy_J
129,129,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
130,130,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
131,131,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
132,132,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
133,133,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
134,134,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
135,135,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
136,136,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
137,137,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
138,138,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
139,139,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
140,140,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
141,141,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
142,142,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
143,143,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
144,144,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
145,145,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
146,146,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
147,147,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
148,148,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
149,149,0.0,0.0,0.0,0.0,997.5250560000017,0.0,0.0,0.0,606213.2473567573
