,time_s,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,cumulative_energy,incremental_energy_J,segment_number
121,31.09999999999998,11.176,1.1176000000000001,78.34920000000004,0.0,5571.443485953734,140559.69219535167,557.1443485953735,2
122,31.19999999999998,11.176,1.1176000000000001,79.46680000000003,0.0,5571.443485953734,141116.83654394705,557.1443485953735,2
123,31.29999999999998,11.176,1.1176000000000001,80.58440000000003,0.0,5571.443485953734,141673.98089254243,557.1443485953735,2
124,31.399999999999977,11.176,1.1176000000000001,81.70200000000003,0.0,5571.443485953734,142231.1252411378,557.1443485953735,2
125,31.49999999999998,11.176,1.1176000000000001,82.81960000000002,0.0,5571.443485953734,142788.2695897332,557.1443485953735,2
126,31.59999999999998,11.176,1.1176000000000001,83.93720000000002,0.0,5571.443485953734,143345.41393832857,557.1443485953735,2
127,31.699999999999978,11.176,1.1176000000000001,85.05480000000001,0.0,5571.443485953734,143902.55828692394,557.1443485953735,2
128,31.799999999999976,11.176,1.1176000000000001,86.17240000000001,0.0,5571.443485953734,144459.70263551932,557.1443485953735,2
129,31.899999999999977,11.176,1.1176000000000001,87.29,0.0,5571.443485953734,145016.8469841147,557.1443485953735,2
130,31.99999999999998,11.176,1.1176000000000001,88.4076,0.0,5571.443485953734,145573.99133271008,557.1443485953735,2
131,32.09999999999998,11.176,1.1176000000000001,89.5252,0.0,5571.443485953734,146131.13568130546,557.1443485953735,2
132,32.199999999999974,11.176,1.1176000000000001,90.6428,0.0,5571.443485953734,146688.28002990084,557.1443485953735,2
133,32.299999999999976,11.176,1.1176000000000001,91.76039999999999,0.0,5571.443485953734,147245.42437849622,557.1443485953735,2
134,32.39999999999998,11.176,1.1176000000000001,92.87799999999999,0.0,5571.443485953734,147802.5687270916,557.1443485953735,2
135,32.49999999999997,11.176,1.1176000000000001,93.99559999999998,0.0,5571.443485953734,148359.71307568697,557.1443485953735,2
136,32.59999999999997,11.176,1.1176000000000001,95.11319999999998,0.0,5571.443485953734,148916.85742428235,557.1443485953735,2
137,32.699999999999974,11.176,1.1176000000000001,96.23079999999997,0.0,5571.443485953734,149474.00177287773,557.1443485953735,2
138,32.799999999999976,11.176,1.1176000000000001,97.34839999999997,0.0,5571.443485953734,150031.1461214731,557.1443485953735,2
139,32.89999999999998,11.176,1.1176000000000001,98.46599999999997,0.0,5571.443485953734,150588.2904700685,557.1443485953735,2
140,32.99999999999997,11.176,1.1176000000000001,99.58359999999996,0.0,5571.443485953734,151145.43481866387,557.1443485953735,2
141,33.09999999999997,11.176,1.1176000000000001,100.70119999999996,0.0,5571.443485953734,151702.57916725925,557.1443485953735,2
142,33.199999999999974,11.176,1.1176000000000001,101.81879999999995,0.0,5571.443485953734,152259.72351585462,557.1443485953735,2
143,33.29999999999997,11.176,1.1176000000000001,102.93639999999995,0.0,5571.443485953734,152816.86786445,557.1443485953735,2
144,33.39999999999997,11.176,1.1176000000000001,104.05399999999995,0.0,5571.443485953734,153374.01221304538,557.1443485953735,2
145,33.49999999999997,11.176,1.1176000000000001,105.17159999999994,0.0,5571.443485953734,153931.15656164076,557.1443485953735,2
146,33.59999999999997,11.176,1.1176000000000001,106.28919999999994,0.0,5571.443485953734,154488.30091023614,557.1443485953735,2
147,33.699999999999974,11.176,1.1176000000000001,107.40679999999993,0.0,5571.443485953734,155045.44525883152,557.1443485953735,2
